id,cardName,cardType,title,left,right,corner,body
1,Card 1,Action,Action,Left,Right,1,"Sample text for card 1. Replace this with your own cards.csv."
2,Card 2,Item,Item,Left,Right,2,"Sample text for card 2. Replace this with your own cards.csv."
3,Card 3,Unit,Unit,Left,Right,3,"Sample text for card 3. Replace this with your own cards.csv."
4,Card 4,Action,Action,Left,Right,4,"Sample text for card 4. Replace this with your own cards.csv."
5,Card 5,Item,Item,Left,Right,5,"Sample text for card 5. Replace this with your own cards.csv."
6,Card 6,Unit,Unit,Left,Right,6,"Sample text for card 6. Replace this with your own cards.csv."
7,Card 7,Action,Action,Left,Right,7,"Sample text for card 7. Replace this with your own cards.csv."
8,Card 8,Item,Item,Left,Right,8,"Sample text for card 8. Replace this with your own cards.csv."
9,Card 9,Unit,Unit,Left,Right,9,"Sample text for card 9. Replace this with your own cards.csv."
10,Card 10,Action,Action,Left,Right,10,"Sample text for card 10. Replace this with your own cards.csv."
11,Card 11,Item,Item,Left,Right,11,"Sample text for card 11. Replace this with your own cards.csv."
12,Card 12,Unit,Unit,Left,Right,12,"Sample text for card 12. Replace this with your own cards.csv."
13,Plain,Other,Plain,,,,"A card type with no template falls back to the default template."
